frame,sensor_ts_s,t_s
404,94.768852,5.507272
405,94.785520,5.523940
406,94.802186,5.540606
407,94.818854,5.557274
408,94.835522,5.573942
409,94.852191,5.590611
410,94.868856,5.607276
411,94.885523,5.623943
412,94.902192,5.640612
413,94.918859,5.657279
414,94.935528,5.673948
415,94.952195,5.690615
416,94.968858,5.707278
417,94.985526,5.723946
418,95.002189,5.740609
419,95.018857,5.757277
420,95.035520,5.773940
421,95.052197,5.790617
422,95.068852,5.807272
423,95.085522,5.823942
424,95.102184,5.840604
425,95.118852,5.857272
426,95.135516,5.873936
427,95.152184,5.890604
428,95.168850,5.907270
429,95.185516,5.923936
430,95.202182,5.940602
431,95.218850,5.957270
432,95.235513,5.973933
433,95.252181,5.990601
434,95.268845,6.007265
435,95.285512,6.023932
436,95.302180,6.040600
437,95.318846,6.057266
438,95.335511,6.073931
439,95.352178,6.090598
440,95.368841,6.107261
441,95.385509,6.123929
442,95.402176,6.140596
443,95.418840,6.157260
444,95.435509,6.173929
445,95.452173,6.190593
446,95.468841,6.207261
447,95.485507,6.223927
448,95.502170,6.240590
449,95.518841,6.257261
450,95.535502,6.273922
451,95.552170,6.290590
452,95.568835,6.307255
453,95.585503,6.323923
454,95.602169,6.340589
455,95.618838,6.357258
456,95.635503,6.373923
457,95.652168,6.390588
458,95.668837,6.407257
459,95.685502,6.423922
460,95.702166,6.440586
461,95.718832,6.457252
462,95.735496,6.473916
463,95.752165,6.490585
464,95.768829,6.507249
465,95.785495,6.523915
466,95.802161,6.540581
467,95.818827,6.557247
468,95.835492,6.573912
469,95.852161,6.590581
470,95.868825,6.607245
471,95.885493,6.623913
472,95.902163,6.640583
473,95.918826,6.657246
474,95.935488,6.673908
475,95.952156,6.690576
476,95.968823,6.707243
477,95.985488,6.723908
478,96.002171,6.740591
479,96.018815,6.757235
480,96.035479,6.773899
481,96.052148,6.790568
482,96.068812,6.807232
483,96.085477,6.823897
484,96.102144,6.840564
485,96.118808,6.857228
486,96.135476,6.873896
487,96.152138,6.890558
488,96.168804,6.907224
489,96.185467,6.923887
490,96.202132,6.940552
491,96.218797,6.957217
492,96.235468,6.973888
493,96.252127,6.990547
494,96.268794,7.007214
495,96.285457,7.023877
496,96.302131,7.040551
497,96.318788,7.057208
498,96.335453,7.073873
499,96.352120,7.090540
500,96.368784,7.107204
501,96.385450,7.123870
502,96.402114,7.140534
503,96.418778,7.157198
504,96.435444,7.173864
505,96.452107,7.190527
506,96.468773,7.207193
507,96.485440,7.223860
508,96.502101,7.240521
509,96.518766,7.257186
510,96.535436,7.273856
511,96.552099,7.290519
512,96.568762,7.307182
513,96.585436,7.323856
514,96.602095,7.340515
515,96.618759,7.357179
516,96.635426,7.373846
517,96.652094,7.390514
518,96.668755,7.407175
519,96.685419,7.423839
520,96.702084,7.440504
521,96.718746,7.457166
522,96.735415,7.473835
523,96.752086,7.490506
524,96.768745,7.507165
525,96.785411,7.523831
526,96.802073,7.540493
527,96.818737,7.557157
528,96.835403,7.573823
529,96.852070,7.590490
530,96.868741,7.607161
531,96.885402,7.623822
532,96.902066,7.640486
533,96.918742,7.657162
534,96.935398,7.673818
535,96.952071,7.690491
536,96.968724,7.707144
537,96.985388,7.723808
538,97.002051,7.740471
539,97.018715,7.757135
540,97.035382,7.773802
541,97.052052,7.790472
542,97.068708,7.807128
543,97.085372,7.823792
544,97.102039,7.840459
545,97.118700,7.857120
546,97.135369,7.873789
547,97.152061,7.890481
548,97.168694,7.907114
549,97.185355,7.923775
550,97.202023,7.940443
551,97.218686,7.957106
552,97.235351,7.973771
553,97.252055,7.990475
554,97.268678,8.007098
555,97.285341,8.023761
556,97.302009,8.040429
557,97.318669,8.057089
558,97.335332,8.073752
559,97.351997,8.090417
560,97.368663,8.107083
561,97.385326,8.123746
562,97.401991,8.140411
563,97.418653,8.157073
564,97.435317,8.173737
565,97.451982,8.190402
566,97.468646,8.207066
567,97.485310,8.223730
568,97.501978,8.240398
569,97.518637,8.257057
570,97.535304,8.273724
571,97.551968,8.290388
572,97.568629,8.307049
573,97.585296,8.323716
574,97.601961,8.340381
575,97.618623,8.357043
576,97.635288,8.373708
577,97.651951,8.390371
578,97.668624,8.407044
579,97.685282,8.423702
580,97.701946,8.440366
581,97.718608,8.457028
582,97.735274,8.473694
583,97.751935,8.490355
584,97.768604,8.507024
585,97.785266,8.523686
586,97.801928,8.540348
587,97.818593,8.557013
588,97.835259,8.573679
589,97.851923,8.590343
590,97.868586,8.607006
591,97.885251,8.623671
592,97.901912,8.640332
593,97.918583,8.657003
594,97.935243,8.673663
595,97.951906,8.690326
596,97.968569,8.706989
597,97.985232,8.723652
598,98.001897,8.740317
599,98.018559,8.756979
600,98.035222,8.773642
601,98.051883,8.790303
602,98.068548,8.806968
603,98.085209,8.823629
604,98.101876,8.840296
605,98.118539,8.856959
606,98.135203,8.873623
607,98.151863,8.890283
608,98.168531,8.906951
609,98.185194,8.923614
610,98.201853,8.940273
611,98.218520,8.956940
612,98.235184,8.973604
613,98.251846,8.990266
614,98.268507,9.006927
615,98.285172,9.023592
616,98.301834,9.040254
617,98.318498,9.056918
618,98.335160,9.073580
619,98.351823,9.090243
620,98.368491,9.106911
621,98.385149,9.123569
622,98.401812,9.140232
623,98.418475,9.156895
624,98.435145,9.173565
625,98.451803,9.190223
626,98.468466,9.206886
627,98.485129,9.223549
628,98.501792,9.240212
629,98.518453,9.256873
630,98.535118,9.273538
631,98.551783,9.290203
632,98.568445,9.306865
633,98.585107,9.323527
634,98.601772,9.340192
635,98.618435,9.356855
636,98.635095,9.373515
637,98.651762,9.390182
638,98.668424,9.406844
639,98.685087,9.423507
640,98.701751,9.440171
641,98.718414,9.456834
642,98.735077,9.473497
643,98.751741,9.490161
644,98.768405,9.506825
645,98.785066,9.523486
646,98.801736,9.540156
647,98.818392,9.556812
648,98.835056,9.573476
649,98.851720,9.590140
650,98.868383,9.606803
651,98.885046,9.623466
652,98.901712,9.640132
653,98.918370,9.656790
654,98.935038,9.673458
655,98.951698,9.690118
656,98.968360,9.706780
657,98.985032,9.723452
658,99.001687,9.740107
659,99.018347,9.756767
660,99.035012,9.773432
661,99.051674,9.790094
662,99.068336,9.806756
663,99.084995,9.823415
664,99.101664,9.840084
665,99.118322,9.856742
666,99.134985,9.873405
667,99.151646,9.890066
668,99.168310,9.906730
669,99.184972,9.923392
670,99.201634,9.940054
671,99.218298,9.956718
672,99.234960,9.973380
673,99.251619,9.990039
