t_s,ax,ay,az,gx,gy,gz,led
0.518609,-0.1293,-0.0383,0.6656,0.0530,-0.2654,0.1692,0
0.524100,-0.1006,-0.0814,0.7183,0.0578,-0.2633,0.1689,0
0.528256,-0.1341,-0.0239,0.7374,0.0560,-0.2555,0.1663,0
0.531718,-0.1149,-0.0527,0.6991,0.0560,-0.2505,0.1689,0
0.535445,-0.1006,-0.0335,0.7230,0.0552,-0.2553,0.1713,0
0.539325,-0.1867,-0.0670,0.7661,0.0589,-0.2446,0.1692,0
0.545540,-0.1580,-0.0479,0.8140,0.0592,-0.2393,0.1655,0
0.549817,-0.1053,-0.0862,0.7566,0.0565,-0.2414,0.1711,0
0.553385,-0.1389,-0.0479,0.7422,0.0584,-0.2308,0.1700,0
0.563893,-0.1245,-0.0718,0.7805,0.0541,-0.2236,0.1719,0
0.567662,-0.0910,-0.0958,0.8140,0.0626,-0.2212,0.1737,0
0.571380,-0.1389,-0.0766,0.8428,0.0618,-0.2190,0.1697,0
0.576765,-0.1293,-0.0192,0.9194,0.0541,-0.2134,0.1711,0
0.581178,-0.1101,-0.0287,0.8954,0.0626,-0.2129,0.1775,0
0.584733,-0.1293,-0.0575,0.9050,0.0642,-0.2060,0.1759,0
0.590371,-0.1245,-0.0144,0.9242,0.0658,-0.1940,0.1764,0
0.594441,-0.0910,-0.0718,0.9002,0.0610,-0.1953,0.1751,0
0.597670,-0.1532,-0.0144,0.8763,0.0632,-0.1905,0.1801,0
0.600938,-0.1101,-0.0335,0.9673,0.0679,-0.1823,0.1724,0
0.604977,-0.1101,-0.0431,0.8954,0.0650,-0.1783,0.1788,0
0.610086,-0.1341,-0.1053,0.8715,0.0687,-0.1748,0.1817,0
0.613881,-0.0622,-0.0910,0.9098,0.0637,-0.1711,0.1836,0
0.617801,-0.1532,-0.0335,0.9433,0.0685,-0.1671,0.1833,0
0.624964,-0.1437,-0.0718,0.9194,0.0709,-0.1623,0.1833,0
0.630079,-0.1293,-0.0958,0.9242,0.0679,-0.1599,0.1863,0
0.633939,-0.1149,-0.0192,0.9242,0.0743,-0.1522,0.1887,0
0.637209,-0.1149,-0.0718,0.9481,0.0663,-0.1468,0.1876,0
0.641272,-0.1245,-0.0910,0.9912,0.0690,-0.1479,0.1855,0
0.646831,-0.0958,-0.0622,0.9673,0.0749,-0.1367,0.1911,0
0.651133,-0.0910,-0.0862,1.0199,0.0741,-0.1338,0.1857,0
0.655945,-0.1341,-0.0862,1.0774,0.0671,-0.1258,0.1924,0
0.661899,-0.0718,-0.0575,1.0965,0.0674,-0.1244,0.1940,0
0.665140,-0.1149,-0.0575,1.1061,0.0637,-0.1250,0.1911,0
0.668214,-0.1772,-0.0958,1.1444,0.0693,-0.1231,0.1951,0
0.672068,-0.1293,-0.1580,1.0822,0.0642,-0.1132,0.1937,0
0.676991,-0.1006,-0.1197,1.0965,0.0608,-0.1148,0.1932,0
0.680703,-0.1676,-0.0431,1.0822,0.0626,-0.1092,0.1996,0
0.683989,-0.1532,-0.1053,1.1540,0.0581,-0.1037,0.1966,0
0.689278,-0.1484,-0.0766,1.0774,0.0618,-0.1018,0.2025,0
0.693632,-0.1676,-0.0862,1.0391,0.0552,-0.0957,0.1951,0
0.697054,-0.1293,-0.1245,1.0918,0.0520,-0.0853,0.1966,0
0.700600,-0.1006,-0.1389,1.0008,0.0530,-0.0826,0.2006,0
0.703795,-0.1532,-0.1484,0.9768,0.0501,-0.0842,0.1974,0
0.707173,-0.0766,-0.1341,0.9816,0.0464,-0.0826,0.2030,0
0.712132,-0.1437,-0.1197,1.0104,0.0458,-0.0733,0.2012,0
0.715934,-0.1628,-0.1532,1.0918,0.0445,-0.0640,0.2001,0
0.719754,-0.1772,-0.1389,1.0918,0.0389,-0.0570,0.2044,0
0.725212,-0.2155,-0.0718,1.1492,0.0416,-0.0482,0.2033,0
0.729326,-0.2729,-0.1053,1.2258,0.0333,-0.0480,0.2060,0
0.732946,-0.1389,-0.0479,1.2354,0.0389,-0.0397,0.2052,0
0.736434,-0.1389,-0.1820,1.1349,0.0368,-0.0384,0.2086,0
0.740548,-0.1006,-0.1484,1.0774,0.0352,-0.0301,0.2092,0
0.747435,-0.1628,-0.1197,1.2402,0.0296,-0.0240,0.2116,0
0.751867,-0.1915,-0.1006,1.1732,0.0277,-0.0131,0.2076,0
0.758447,-0.1676,-0.1484,1.2594,0.0285,-0.0032,0.2092,0
0.763331,-0.1197,-0.0479,1.3120,0.0296,-0.0029,0.2126,0
0.767001,-0.2490,-0.1341,1.3791,0.0274,0.0061,0.2145,0
0.770283,-0.1867,-0.1197,1.3455,0.0253,0.0144,0.2164,0
0.773480,-0.2155,-0.1389,1.3551,0.0333,0.0171,0.2177,0
0.779379,-0.1963,-0.1101,1.3168,0.0224,0.0296,0.2161,0
0.783119,-0.1820,-0.1101,1.2929,0.0242,0.0330,0.2217,0
0.786304,-0.1484,-0.1628,1.3168,0.0184,0.0448,0.2268,0
0.792065,-0.2155,-0.1389,1.3168,0.0181,0.0522,0.2166,0
0.795673,-0.1484,-0.0862,1.3024,0.0197,0.0584,0.2140,0
0.798906,-0.0766,-0.1053,1.3934,0.0163,0.0669,0.2190,0
0.802105,-0.2107,-0.1149,1.4317,0.0136,0.0711,0.2249,0
0.808037,-0.1101,-0.1101,1.4509,0.0144,0.0773,0.2214,0
0.811978,-0.1580,-0.1245,1.4844,0.0155,0.0839,0.2238,0
0.815400,-0.1628,-0.0910,1.4796,0.0125,0.0903,0.2289,0
0.818990,-0.1532,-0.0527,1.4413,0.0125,0.0986,0.2230,0
0.824091,-0.1532,-0.0718,1.4844,0.0160,0.1029,0.2294,0
0.828099,-0.1437,-0.0910,1.4892,0.0184,0.1154,0.2254,0
0.832765,-0.1867,-0.0383,1.5754,0.0080,0.1146,0.2308,0
0.836284,-0.2251,-0.0192,1.5850,0.0155,0.1220,0.2321,0
0.839730,-0.1772,-0.1245,1.5227,0.0120,0.1335,0.2294,0
0.848474,-0.1341,-0.0144,1.5227,0.0131,0.1410,0.2398,0
0.852878,-0.1389,-0.0335,1.4844,0.0163,0.1503,0.2332,0
0.858518,-0.1867,-0.0766,1.5610,0.0195,0.1585,0.2313,0
0.862323,-0.2298,0.0144,1.6137,0.0203,0.1663,0.2342,0
0.865520,-0.2011,-0.0239,1.6999,0.0240,0.1665,0.2372,0
0.868620,-0.2346,-0.0431,1.7238,0.0218,0.1751,0.2438,0
0.873200,-0.2777,-0.0479,1.6376,0.0248,0.1873,0.2433,0
0.878210,-0.1915,-0.0383,1.5850,0.0234,0.1911,0.2459,0
0.882126,-0.1963,-0.0192,1.6855,0.0274,0.1961,0.2465,0
0.885511,-0.1724,-0.0239,1.7047,0.0269,0.2030,0.2497,0
0.891459,-0.1724,-0.0335,1.6951,0.0317,0.2113,0.2489,0
0.895132,-0.1963,-0.0479,1.7238,0.0290,0.2158,0.2529,0
0.898265,-0.1676,-0.0287,1.7238,0.0314,0.2222,0.2529,0
0.901351,-0.1484,-0.0239,1.7334,0.0322,0.2188,0.2555,0
0.904897,-0.2107,-0.0239,1.7717,0.0352,0.2395,0.2571,0
0.910808,-0.2155,-0.0527,1.7669,0.0346,0.2451,0.2555,0
0.914655,-0.1724,-0.0192,1.7334,0.0370,0.2521,0.2611,0
0.918175,-0.1389,-0.0383,1.7573,0.0373,0.2529,0.2617,0
0.923174,-0.1437,-0.0479,1.8387,0.0373,0.2601,0.2641,0
0.927075,-0.1006,-0.0479,1.9680,0.0362,0.2643,0.2635,0
0.930287,-0.1437,-0.0383,2.0542,0.0357,0.2670,0.2614,0
0.933432,-0.1245,-0.1341,2.0877,0.0400,0.2763,0.2619,0
0.936708,-0.1101,-0.0335,2.0973,0.0378,0.2803,0.2657,0
0.940732,-0.2251,-0.0383,2.4277,0.0474,0.2891,0.2667,0
0.946611,-0.2873,0.0479,3.2226,0.0509,0.2995,0.2710,0
0.950534,-0.4453,0.1628,4.9464,0.0592,0.3291,0.2718,0
0.956293,-3.2609,4.7549,16.3332,0.2022,0.6025,0.2697,0
0.960197,-4.2282,7.6806,39.3080,0.5313,1.2521,0.2158,0
0.963417,-7.5561,7.7285,52.9980,0.9371,1.8482,0.1974,0
0.966524,-9.0692,2.1548,62.1535,1.2295,1.4237,0.3520,0
0.969605,22.2661,-17.2574,69.2355,0.5095,0.8828,1.0611,0
0.973539,58.8591,-32.2260,82.3941,-0.1823,0.2065,1.4232,0
0.978490,53.7355,-21.1264,96.6587,-0.6971,-0.5846,1.2446,0
0.982307,12.0141,1.9106,155.1299,-0.5007,-0.3115,1.2199,0
0.985678,9.2273,18.0714,119.3222,-0.0304,-0.5100,0.8252,0
0.991358,20.6189,23.6068,112.9249,-0.1700,0.0735,0.5945,0
0.995133,15.8448,7.7764,134.2573,0.0378,-0.3168,0.4583,0
0.998377,17.8560,-9.3757,137.7001,0.6270,0.0027,0.5193,0
1.001571,33.7247,12.8664,138.4854,0.8567,-0.2542,0.2030,0
1.005372,3.2082,19.9629,109.2474,0.4770,-0.0541,0.3440,0
1.010084,-6.6272,-7.0581,108.3520,0.1895,-0.3778,0.8620,0
1.014402,14.6765,-11.8226,110.5403,-0.1860,-0.4341,0.5276,0
1.018177,15.4474,-0.1532,99.4456,-0.3059,-0.1807,-0.0115,0
1.023441,4.3479,7.5561,77.6296,-0.6635,-0.0829,-0.2521,0
1.027623,16.5296,10.3430,73.2338,-0.9963,-0.2435,-0.7171,0
1.030909,33.7774,7.5944,83.1698,-0.9878,-0.4788,-1.2828,0
1.034123,17.4250,6.4452,78.0749,-0.7288,-0.3680,-1.4962,0
1.037840,7.7045,11.7651,66.7839,-0.4898,-0.7957,-1.4115,0
1.043115,13.7667,18.2630,64.6961,-0.1258,-1.0397,-1.3459,0
1.047859,-1.8914,15.1026,54.8559,0.3837,-1.3440,-0.9041,0
1.051798,3.7110,19.7522,43.3063,0.6928,-1.5721,-0.5151,0
1.057206,5.2864,17.4489,39.6432,1.0155,-1.8175,-0.1383,0
1.061560,8.3606,18.3539,37.6608,1.2979,-2.0773,0.1188,0
1.065062,10.0269,18.4354,34.8069,1.4573,-2.2628,0.2265,0
1.068445,9.5864,16.2758,32.0584,1.5703,-2.4112,0.2675,0
1.072188,8.6526,12.9287,29.9563,1.6707,-2.5642,0.3008,0
1.078248,6.7181,9.2847,25.0769,1.6009,-2.6012,0.3091,0
1.082527,5.4779,6.4260,23.0083,1.5138,-2.5831,0.2686,0
1.086480,2.0399,4.8459,21.5670,1.3105,-2.3334,0.1663,0
1.092090,-0.9194,4.6974,19.2254,1.1242,-2.0230,0.0794,0
1.096054,1.6951,6.1579,17.7554,1.0155,-1.9012,0.0075,0
1.099350,2.2170,5.0374,16.6924,0.9158,-1.7200,-0.0709,0
1.102547,2.4900,4.8794,15.5001,0.8415,-1.5332,-0.1644,0
1.106204,-0.5124,5.1092,13.6326,0.6805,-1.2670,-0.2486,0
1.111134,-2.6049,4.1468,12.2487,0.5689,-1.0810,-0.2246,0
1.114901,-2.2075,3.6775,11.6741,0.4631,-0.8958,-0.2390,0
1.118297,-3.8547,2.9592,10.7021,0.3072,-0.5438,-0.2358,0
1.124717,-5.1044,2.6815,8.0349,0.1977,-0.3126,-0.1887,0
1.128817,-3.7302,2.6576,6.8474,0.0885,-0.0775,-0.1865,0
1.132554,-4.4053,1.2737,7.0342,0.0389,0.0474,-0.1876,0
1.135754,-4.6735,0.6225,6.4596,-0.0141,0.1836,-0.1665,0
1.138915,-3.8882,0.7183,4.9321,-0.0845,0.3107,-0.1431,0
1.142728,-3.2274,0.2682,3.5338,-0.1966,0.4871,-0.1391,0
1.147887,-3.9169,-1.4269,3.4812,-0.2638,0.6001,-0.1303,0
1.151541,-4.1037,-1.7526,2.7725,-0.3453,0.7392,-0.1215,0
1.155791,-3.7350,-1.9154,1.6185,-0.4863,0.9116,-0.1132,0
1.161637,-3.3710,-2.2027,1.4940,-0.5585,0.9920,-0.0965,0
1.164912,-2.8347,-2.1261,1.3647,-0.6158,1.0637,-0.0898,0
1.168017,-2.7007,-1.9776,1.2833,-0.6755,1.1231,-0.0911,0
1.171770,-2.5953,-1.7382,1.0391,-0.7554,1.2119,-0.0837,0
1.176903,-1.8340,-1.6951,0.8380,-0.7938,1.2460,-0.0831,0
1.180676,-1.3264,-1.5658,0.7949,-0.8356,1.2673,-0.0861,0
1.184187,-1.1875,-1.3455,0.7422,-0.8876,1.3075,-0.0818,0
1.190192,-0.6847,-1.0582,0.5746,-0.9252,1.3145,-0.0946,0
1.194528,-0.7230,-1.0343,0.5171,-0.9430,1.3270,-0.0970,0
1.197855,-0.7374,-0.8954,0.5507,-0.9689,1.3283,-0.1002,0
1.201157,-0.4693,-0.6177,0.5124,-0.9769,1.3384,-0.1108,0
1.204239,-0.4645,-0.5267,0.5986,-0.9974,1.3472,-0.1306,0
1.207735,-0.5650,-0.3926,0.7757,-1.0046,1.3523,-0.1444,0
1.212711,-0.5890,-0.1867,0.9194,-1.0152,1.3603,-0.1537,0
1.216563,-0.6943,-0.0814,1.0199,-1.0160,1.3624,-0.1660,0
1.220184,-0.8619,0.0479,1.2833,-1.0128,1.3675,-0.1687,0
1.225313,-0.5028,-0.0479,1.6233,-1.0131,1.3526,-0.1623,0
1.229054,-0.5171,-0.0958,1.8292,-1.0046,1.3430,-0.1596,0
1.232353,-0.7901,-0.0766,1.8627,-1.0022,1.3320,-0.1455,0
1.235694,-0.6177,0.0527,1.8962,-1.0027,1.3134,-0.1271,0
1.239736,-0.7183,0.0335,2.0925,-0.9942,1.2846,-0.1114,0
1.244831,-1.0726,0.1053,2.2122,-0.9758,1.2684,-0.0903,0
1.248804,-0.9673,0.2634,2.2745,-0.9678,1.2593,-0.0762,0
1.252370,-0.7230,-0.2394,2.4612,-0.9438,1.2233,-0.0648,0
1.258759,-0.5602,-0.4884,2.6145,-0.9329,1.2052,-0.0560,0
1.262459,-0.1293,-0.5746,2.6001,-0.9209,1.1810,-0.0663,0
1.265659,0.1724,-0.8092,2.7485,-0.9196,1.1567,-0.0829,0
